ccode,year,newstate,latent_mean,terror_killed,terror_events,max_hostlevel,cwar_onset,cconflict_onset,cwar_count,cconflict_count,uds_xpolity,pop,rgdppc,exclpop,oilpc,xpolity,xpolity_nas,osv_deaths,nsv_deaths,violent_protest,nonviolent_protest,durable,ethfrac
2,1990,not a recent entrant,1.50264031493229,5,32,war,0,0,0,0,1.54280664555961,12.4424841864932,10.3555890785951,0.297,1.661637,7,7,0,0,143,161,0,0.3569501
2,1991,not a recent entrant,1.26866682420376,2,30,war,0,0,0,0,1.53871184606029,12.4521798620076,10.3411878135373,0.297,1.665643,7,7,0,0,160,204,0,0.3569501
2,1992,not a recent entrant,1.21720588456872,2,32,use of force,0,0,0,0,1.99576684526738,12.461783749806,10.367004878626,0.297,1.609234,7,7,0,0,126,206,0,0.3569501
2,1993,not a recent entrant,1.35858930193316,0,0,use of force,0,0,0,0,1.99413353192116,12.4715215706134,10.3881938163917,0.297,1.531923,7,7,0,0,171,237,0,0.3569501
2,1994,not a recent entrant,1.43991414490029,10,56,use of force,0,0,0,0,1.99650877145802,12.4816909170735,10.4211110185281,0.297,1.478237,7,7,0,0,138,241,0,0.3569501
2,1995,not a recent entrant,1.46771539594628,170,60,use of force,0,0,0,0,1.99302142058404,12.49246784031,10.4358860005806,0.297,1.447325,7,7,0,0,133,238,0,0.3569501
2,1996,not a recent entrant,1.47567982427147,2,35,use of force,0,0,0,0,1.53856802223231,12.5039288975415,10.4632684696941,0.297,1.416242,7,7,0,0,219,280,0,0.3569501
2,1997,not a recent entrant,1.50669855914814,2,40,war,0,0,0,0,1.53997532236501,12.5159197731349,10.4967829056053,0.297,1.394896,7,7,0,0,143,280,0,0.3569501
2,1998,not a recent entrant,1.51037256706239,4,30,war,0,0,0,0,1.54407304007789,12.5281056724111,10.5281888548382,0.297,1.445141,7,7,0,0,160,262,0,0.3569501
2,1999,not a recent entrant,1.44176149459692,20,53,war,0,0,0,0,1.53726197435451,12.5400418593446,10.5634426710524,0.297,1.367155,7,7,0,0,126,221,0,0.3569501
2,2000,not a recent entrant,1.28498551547465,0,32,war,0,0,0,0,1.55382240850138,12.5514207675364,10.5944706431417,0.297,1.347437,7,7,0,0,144,246,0,0.3569501
2,2001,not a recent entrant,0.954684364211093,3003,41,war,1,0,1,0,1.50423666270932,12.5621541434146,10.5919967442344,0.297,1.322955,7,7,2753,0,366,378,0,0.3569501
2,2002,not a recent entrant,0.736893902178176,4,33,war,0,0,0,1,1.50478485886789,12.5723370482849,10.5946242133551,0.297,1.241598,7,7,0,0,344,261,0,0.3569501
2,2003,not a recent entrant,0.545766949208861,0,32,war,0,0,0,1,1.50601061701142,12.5820774285478,10.6083661501405,0.297,1.269689,7,7,0,0,1047,267,0,0.3569501
2,2004,not a recent entrant,0.199983401611299,0,9,use of force,0,0,0,1,1.50755260071281,12.5915497171549,10.6328555182694,0.297,1.228711,7,7,0,0,1136,239,0,0.3569501
2,2005,not a recent entrant,0.0886922535484236,0,20,use of force,0,0,0,1,1.50410865854989,12.6008821841629,10.6532430651132,0.297,1.161362,7,7,0,0,20,109,0,0.3569501
2,2006,not a recent entrant,0.141596825149377,1,6,use of force,0,0,0,1,1.50045117428275,12.6100849321374,10.6702738274867,0.297,1.146262,7,7,0,0,36,161,0,0.3569501
2,2007,not a recent entrant,0.256200830746117,0,9,use of force,0,0,0,1,1.50365996922799,12.6191241043722,10.6805136883379,0.297,1.131196,7,7,0,0,25,79,0,0.3569501
2,2008,not a recent entrant,0.331934091730216,2,18,use of force,0,0,0,1,1.50584062799846,12.6280311860938,10.6652998842219,0.297,1.102183,7,7,0,0,30,92,0,0.3569501
20,1990,not a recent entrant,2.45170320805493,0,0,war,0,0,0,0,1.36539617274459,10.2292183776252,10.2607923480767,0.028,3.240773,7,7,0,0,15,15,0,0.754994
20,1991,not a recent entrant,2.35399646191051,0,0,war,0,0,0,0,1.36098252520814,10.2418055846283,10.227266353,0.028,3.192135,7,7,0,0,10,20,0,0.754994
20,1992,not a recent entrant,2.20424909509851,0,3,display of force,0,0,0,0,1.54426738814793,10.2536569814247,10.2237915708171,0.028,3.304829,7,7,0,0,13,19,0,0.754994
20,1993,not a recent entrant,2.27210280765461,0,0,use of force,0,0,0,0,1.36349315914216,10.2648098806365,10.2294248481672,0.028,3.391165,7,7,0,0,15,13,0,0.754994
20,1994,not a recent entrant,2.25069253350665,0,4,use of force,0,0,0,0,1.36366699872096,10.2753624398105,10.2628846380832,0.028,3.537918,7,7,0,0,14,19,0,0.754994
20,1995,not a recent entrant,2.37523357246732,1,5,use of force,0,0,0,0,1.35943978656021,10.2854141235192,10.2899774309603,0.028,3.656255,7,7,0,0,13,21,0,0.754994
20,1996,not a recent entrant,2.52830802123834,0,1,no dispute,0,0,0,0,1.36040768006619,10.2949287841586,10.2970723686136,0.028,3.690301,7,7,0,0,8,20,0,0.754994
